id,name
1133854,Cade Cunningham
1178370,Jaden Ivey
1092901,Isaiah Stewart
998636,Killian Hayes
940811,Marvin Bagley III
817014,Alec Burks
1179838,Jalen Duren
1133845,Isaiah Livers
1092884,James Wiseman
940798,Hamidou Diallo
817206,Cory Joseph
1133924,Eugene Omoruyi
846928,Rodney McGruder
1092949,R.J. Hampton
1179430,Jared Rhoden
1178536,Buddy Boeheim
1178570,Stanley Umude
817108,Paul George
817229,Kawhi Leonard
817437,Russell Westbrook
817332,Norman Powell
817115,Eric Gordon
817279,Marcus Morris
846927,Ivica Zubac
817324,Mason Plumlee
989017,Terance Mann
1133811,Nah'Shon Hyland
816981,Nicolas Batum
817044,Robert Covington
1133989,Brandon Boston Jr.
989007,Amir Coffey
1092929,Anthony Edwards
817410,Karl-Anthony Towns
817111,Rudy Gobert
1092930,Jaden McDaniels
817038,Mike Conley
816958,Kyle Anderson
846893,Taurean Prince
987872,Jaylen Nowell
1000618,Naz Reid
817344,Austin Rivers
988994,Nickeil Alexander-Walker
951089,Jordan McLaughlin
1092948,Nathan Knight
1181226,Wendell Moore
817181,LeBron James
817054,Anthony Davis
817357,D'Angelo Russell
817361,Dennis Schroder
1132140,Austin Reaves
846918,Malik Beasley
988788,Rui Hachimura
940758,Lonnie Walker IV
940804,Troy Brown Jr.
940760,Jarred Vanderbilt
940810,Mohamed Bamba
957469,Wenyen Gabriel
885239,Davon Reed
1386097,Scotty Pippen Jr.
1178535,Cole Swider
817406,Tristan Thompson
817050,Stephen Curry
817404,Klay Thompson
817442,Andrew Wiggins
989024,Jordan Poole
817122,Draymond Green
940799,Donte DiVincenzo
817235,Kevon Looney
1132126,Jonathan Kuminga
1092951,Anthony Lamb
988301,TY Jerome
855982,Gary Payton II
817125,JaMychal Green
817173,Andre Iguodala
1132134,Moses Moody
1180496,Patrick Baldwin Jr
1178910,Ryan Rollins
1389948,Pat Spencer
987552,Keldon Johnson
1092880,Devin Vassell
1092947,Tre Jones
1179822,Jeremy Sochan
885242,Zach Collins
940809,Keita Bates-Diop
817256,Doug McDermott
1178394,Julian Champagnie
987101,Romeo Langford
940793,Devonte' Graham
1134004,Sandro Mamukelashvili
817196,Stanley Johnson
1133907,Charles Bassey
817058,Dewayne Dedmon
989030,Isaiah Roby
817063,Gorgui Dieng
905900,Khem Birch
1092868,LaMelo Ball
817353,Terry Rozier
